OTU	G441802_mean	G441303_mean	G441284_mean	G440282_mean	G441424_mean	G440305_mean	G445224_mean	G440606_mean	G440981_mean	G440883_mean	G441502_mean	G440205_mean	G440104_mean	G445302_mean
4450795.0	2.2	2.8	6.4	1.1	2.0	1.8	3.0	3.1	2.9	3.6	2.7	1.5	3.1	2.5
176269.0	6.4	6.6	8.0	13.1	17.4	17.3	9.6	12.0	12.4	8.2	13.2	16.4	7.5	8.7
180806.0	1.8	2.3	1.7	2.4	2.4	1.7	1.9	1.4	1.9	1.4	3.5	2.6	2.0	1.8
197329.0	1.7	1.8	1.3	1.1	1.4	.7	1.6	2.5	1.6	2.8	2.3	.9	1.6	1.5
173969.0	4.9	4.8	3.3	2.3	2.8	1.9	2.1	4.1	3.9	4.2	5.3	2.3	4.7	3.8
921020.0	5.2	7.7	5.3	2.9	12.3	3.5	11.5	8.7	5.5	7.1	26.3	2.2	3.9	2.9
299267.0	2.1	2.9	2.8	1.3	1.3	1.2	3.3	1.3	2.3	3.0	2.5	2.4	1.6	3.0
189407.0	.5	.2	.2	.3	.1	.1	.1	.2	.2	.3	.1	.1	.1	.6
4346675.0	81.3	71.6	38.3	65.0	79.2	59.6	63.3	57.8	60.7	65.2	61.2	53.9	76.9	67.6
1504042.0	4.3	5.1	4.7	4.0	2.9	5.5	4.8	5.1	2.1	2.1	3.0	3.1	5.0	4.7
4423553.0	30.3	21.1	14.3	22.8	33.6	33.1	41.1	19.8	24.6	72.8	38.6	27.6	19.0	22.8
